customerID,Churn,ChurnFlag,tenure,tenure_band,MonthlyCharges,monthly_band,TotalCharges,customer_value,services_count,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Partner_bin,Dependents_bin,PhoneService_bin,PaperlessBilling_bin,OnlineSecurity_active,OnlineBackup_active,DeviceProtection_active,TechSupport_active,StreamingTV_active,StreamingMovies_active,MultipleLines_active
3638-WEABW,No,0,58,49-72,59.9,"(58.83, 79.1]",3505.1,3474.2,3,Female,0,Yes,No,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),1,0,1,1,0,1,0,1,0,0,1
6322-HRPFA,No,0,49,49-72,59.6,"(58.83, 79.1]",2970.3,2920.4,3,Male,0,Yes,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),1,1,1,0,1,1,0,1,0,0,0
6865-JZNKO,No,0,30,25-48,55.3,"(25.05, 58.83]",1530.6,1659.0,2,Female,0,No,No,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0,0,1,1,1,1,0,0,0,0,0
6467-CHFZW,Yes,1,47,25-48,99.35,"(94.25, 118.75]",4749.15,4669.45,4,Male,0,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,1,1,1,0,1,0,0,1,1,1
8665-UTDHZ,Yes,1,1,1-6,30.2,"(25.05, 58.83]",30.2,30.2,1,Male,0,Yes,Yes,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,1,1,0,0,0,1,0,0,0,0,0
5248-YGIJN,No,0,72,49-72,90.25,"(79.1, 94.25]",6369.45,6498.0,7,Male,0,Yes,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),1,0,1,1,1,1,1,1,1,1,1
8773-HHUOZ,Yes,1,17,13-24,64.7,"(58.83, 79.1]",1093.1,1099.9,2,Female,0,No,Yes,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,0,1,1,1,0,0,0,0,1,1,0
3841-NFECX,No,0,71,49-72,96.35,"(94.25, 118.75]",6766.95,6840.849999999999,5,Female,1,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),1,0,1,1,1,1,1,1,0,0,1
4929-XIHVW,No,0,2,1-6,95.5,"(94.25, 118.75]",181.65,191.0,3,Male,1,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1,0,1,1,0,0,1,0,1,1,0
6827-IEAUQ,No,0,27,25-48,66.15,"(58.83, 79.1]",1874.45,1786.0500000000002,4,Female,0,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,1,1,1,0,1,1,1,1,0,0,0
7310-EGVHZ,No,0,1,1-6,20.2,"(18.249, 25.05]",20.2,20.2,0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),0,0,1,0,0,0,0,0,0,0,0
3413-BMNZE,No,0,1,1-6,45.25,"(25.05, 58.83]",45.25,45.25,0,Male,1,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),0,0,1,0,0,0,0,0,0,0,0
6234-RAAPL,No,0,72,49-72,99.9,"(94.25, 118.75]",7251.7,7192.8,5,Female,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),1,1,1,0,1,1,0,1,1,0,1
6047-YHPVI,Yes,1,5,1-6,69.7,"(58.83, 79.1]",316.9,348.5,0,Male,0,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0,0,1,1,0,0,0,0,0,0,0
6572-ADKRS,No,0,46,25-48,74.8,"(58.83, 79.1]",3548.3,3440.7999999999997,1,Female,0,No,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),0,0,1,1,0,0,1,0,0,0,0
5380-WJKOV,Yes,1,34,25-48,106.35,"(94.25, 118.75]",3549.25,3615.8999999999996,5,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0,0,1,1,0,1,1,0,1,1,1
8168-UQWWF,Yes,1,11,7-12,97.85,"(94.25, 118.75]",1105.4,1076.35,4,Female,0,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0,0,1,1,0,0,1,0,1,1,1
8865-TNMNX,No,0,10,7-12,49.55,"(25.05, 58.83]",475.7,495.5,1,Male,0,Yes,Yes,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,1,1,1,0,0,1,0,0,0,0,0
9489-DEDVP,No,0,70,49-72,69.2,"(58.83, 79.1]",4872.35,4844.0,4,Female,0,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),1,1,1,1,1,1,0,0,1,0,1
9867-JCZSP,No,0,17,13-24,20.75,"(18.249, 25.05]",418.25,352.75,0,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,1,1,1,0,0,0,0,0,0,0,0
4671-VJLCL,No,0,63,49-72,79.85,"(79.1, 94.25]",4861.45,5030.549999999999,6,Female,0,No,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),0,0,1,1,1,1,1,1,1,0,1
4080-IIARD,No,0,13,13-24,76.2,"(58.83, 79.1]",981.45,990.6,5,Female,0,Yes,No,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,1,0,1,1,1,1,0,1,1,0,1
3714-NTNFO,No,0,49,49-72,84.5,"(79.1, 94.25]",3906.7,4140.5,2,Female,0,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0,0,1,1,0,0,0,0,0,1,1
5948-UJZLF,No,0,2,1-6,49.25,"(25.05, 58.83]",97.0,98.5,1,Male,0,No,No,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,0,0,1,0,0,1,0,0,0,0,0
7760-OYPDY,Yes,1,2,1-6,80.65,"(79.1, 94.25]",144.15,161.3,1,Female,0,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0,0,1,1,0,0,0,0,1,0,0
7639-LIAYI,No,0,52,49-72,79.75,"(79.1, 94.25]",4217.8,4147.0,5,Male,0,No,No,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0,0,1,1,1,0,0,1,1,1,1
2954-PIBKO,No,0,69,49-72,64.15,"(58.83, 79.1]",4254.1,4426.35,4,Female,0,Yes,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),1,1,1,1,1,0,1,1,0,0,1
8012-SOUDQ,No,0,43,25-48,90.25,"(79.1, 94.25]",3838.75,3880.75,3,Female,1,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0,0,1,1,0,1,0,0,1,0,1
9420-LOJKX,Yes,1,15,13-24,99.1,"(94.25, 118.75]",1426.4,1486.5,4,Female,0,No,No,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0,0,1,1,1,1,0,0,1,1,0
6575-SUVOI,No,0,25,25-48,69.5,"(58.83, 79.1]",1752.65,1737.5,4,Female,1,Yes,No,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),1,0,1,1,1,0,0,1,1,0,1
7495-OOKFY,Yes,1,8,7-12,80.65,"(79.1, 94.25]",633.3,645.2,2,Female,1,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1,0,1,1,0,1,0,0,0,0,1
4667-QONEA,No,0,60,49-72,74.85,"(58.83, 79.1]",4456.35,4491.0,5,Female,1,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),1,1,1,1,1,1,1,1,0,1,0
1658-BYGOY,Yes,1,18,13-24,95.45,"(94.25, 118.75]",1752.55,1718.1000000000001,3,Male,1,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0,0,1,1,0,0,0,0,1,1,1
8769-KKTPH,No,0,63,49-72,99.65,"(94.25, 118.75]",6311.2,6277.950000000001,4,Female,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),1,1,1,1,1,0,0,0,1,1,1
5067-XJQFU,No,0,66,49-72,108.45,"(94.25, 118.75]",7076.35,7157.7,6,Male,1,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,1,1,1,1,0,1,1,1,1,1,1
3957-SQXML,No,0,34,25-48,24.95,"(18.249, 25.05]",894.3,848.3,1,Female,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1,1,1,0,0,0,0,0,0,0,1
5954-BDFSG,No,0,72,49-72,107.5,"(94.25, 118.75]",7853.7,7740.0,5,Female,0,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0,0,1,1,0,0,1,1,1,1,1
0434-CSFON,No,0,47,25-48,100.5,"(94.25, 118.75]",4707.1,4723.5,4,Female,0,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,0,1,1,0,0,1,0,1,1,1
1215-FIGMP,No,0,60,49-72,89.9,"(79.1, 94.25]",5450.7,5394.0,3,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),0,0,1,1,0,1,0,0,1,0,1
0526-SXDJP,No,0,72,49-72,42.1,"(25.05, 58.83]",2962.0,3031.2000000000003,3,Male,0,Yes,No,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),1,0,0,0,1,1,1,0,0,0,0
0557-ASKVU,No,0,18,13-24,54.4,"(25.05, 58.83]",957.1,979.1999999999999,2,Female,0,Yes,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),1,1,1,1,0,0,1,1,0,0,0
5698-BQJOH,Yes,1,9,7-12,94.4,"(94.25, 118.75]",857.25,849.6,3,Female,0,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,0,0,1,0,0,0,0,0,1,1,1
5122-CYFXA,No,0,3,1-6,75.3,"(58.83, 79.1]",244.1,225.89999999999998,4,Female,0,No,No,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,0,1,1,0,1,0,1,1,1,0
8627-ZYGSZ,No,0,47,25-48,78.9,"(58.83, 79.1]",3650.35,3708.3,2,Male,0,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,1,0,1,1,0,1,0,0,0,0,1
3410-YOQBQ,No,0,31,25-48,79.2,"(79.1, 94.25]",2497.2,2455.2000000000003,5,Female,0,No,No,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,0,0,1,0,0,1,1,1,1,1,0
3170-NMYVV,No,0,50,49-72,20.15,"(18.249, 25.05]",930.9,1007.4999999999999,0,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1,1,1,0,0,0,0,0,0,0,0
7410-OIEDU,No,0,10,7-12,79.85,"(79.1, 94.25]",887.35,798.5,2,Male,0,No,No,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,0,0,1,1,1,0,1,0,0,0,0
2273-QCKXA,No,0,1,1-6,49.05,"(25.05, 58.83]",49.05,49.05,1,Male,0,No,No,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,0,0,1,0,0,0,0,1,0,0,0
0731-EBJQB,No,0,52,49-72,20.4,"(18.249, 25.05]",1090.65,1060.8,0,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,1,1,1,1,0,0,0,0,0,0,0
1891-QRQSA,No,0,64,49-72,111.6,"(94.25, 118.75]",7099.0,7142.4,6,Male,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1,1,1,1,1,0,1,1,1,1,1
8028-PNXHQ,No,0,62,49-72,24.25,"(18.249, 25.05]",1424.6,1503.5,1,Male,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),1,1,1,1,0,0,0,0,0,0,1
5630-AHZIL,No,0,3,1-6,64.5,"(58.83, 79.1]",177.4,193.5,3,Female,0,No,Yes,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),0,1,1,1,1,0,0,1,0,1,0
2673-CXQEU,No,0,56,49-72,110.5,"(94.25, 118.75]",6139.5,6188.0,6,Female,1,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,0,0,1,0,1,1,1,0,1,1,1
6416-JNVRK,No,0,46,25-48,55.65,"(25.05, 58.83]",2688.85,2559.9,1,Female,0,No,No,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),0,0,1,0,0,0,0,0,0,1,0
5590-ZSKRV,No,0,8,7-12,54.65,"(25.05, 58.83]",482.25,437.2,2,Female,0,Yes,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,1,1,1,0,1,1,0,0,0,0,0
0191-ZHSKZ,No,0,30,25-48,74.75,"(58.83, 79.1]",2111.3,2242.5,4,Male,1,No,No,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0,0,1,1,1,1,0,0,1,1,0
3887-PBQAO,No,0,45,25-48,25.9,"(25.05, 58.83]",1216.6,1165.5,1,Female,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),1,1,1,1,0,0,0,0,0,0,1
5919-TMRGD,Yes,1,1,1-6,79.35,"(79.1, 94.25]",79.35,79.35,1,Female,0,No,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0,1,1,1,0,0,0,0,1,0,0
8108-UXRQN,No,0,11,7-12,50.55,"(25.05, 58.83]",565.35,556.05,3,Female,0,Yes,Yes,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,1,1,0,0,1,0,0,0,1,1,0
9191-MYQKX,Yes,1,7,7-12,75.15,"(58.83, 79.1]",496.9,526.0500000000001,1,Female,0,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1,0,1,1,0,0,1,0,0,0,0
9919-YLNNG,No,0,42,25-48,103.8,"(94.25, 118.75]",4327.5,4359.599999999999,5,Female,0,No,No,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0,0,1,1,0,1,1,1,1,1,0
0318-ZOPWS,No,0,49,49-72,20.15,"(18.249, 25.05]",973.35,987.3499999999999,0,Female,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),1,0,1,1,0,0,0,0,0,0,0
4445-ZJNMU,No,0,9,7-12,99.3,"(94.25, 118.75]",918.75,893.6999999999999,4,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0,0,1,1,0,1,0,0,1,1,1
4808-YNLEU,No,0,35,25-48,62.15,"(58.83, 79.1]",2215.45,2175.25,2,Female,0,Yes,No,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),1,0,1,1,1,0,0,0,1,0,0
1862-QRWPE,No,0,48,25-48,20.65,"(18.249, 25.05]",1057.0,991.1999999999999,0,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1,1,1,0,0,0,0,0,0,0,0
2796-NNUFI,No,0,46,25-48,19.95,"(18.249, 25.05]",927.1,917.6999999999999,0,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,1,1,1,1,0,0,0,0,0,0,0
3016-KSVCP,No,0,29,25-48,33.75,"(25.05, 58.83]",1009.25,978.75,1,Male,0,Yes,No,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,1,0,0,0,0,0,0,0,1,0,0
4767-HZZHQ,No,0,30,25-48,82.05,"(79.1, 94.25]",2570.2,2461.5,2,Male,0,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),1,1,1,0,0,1,1,0,0,0,0
2424-WVHPL,No,0,1,1-6,74.7,"(58.83, 79.1]",74.7,74.7,1,Male,1,No,No,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,0,0,1,0,0,0,0,1,0,0,0
7233-PAHHL,No,0,66,49-72,84.0,"(79.1, 94.25]",5714.25,5544.0,6,Male,0,Yes,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,1,1,1,1,1,0,1,1,1,1,1
6067-NGCEU,No,0,65,49-72,111.05,"(94.25, 118.75]",7107.0,7218.25,6,Female,0,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0,0,1,1,1,1,1,0,1,1,1
9848-JQJTX,No,0,72,49-72,100.9,"(94.25, 118.75]",7459.05,7264.8,5,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),0,0,1,1,0,1,1,0,1,1,1
8637-XJIVR,Yes,1,12,7-12,78.95,"(58.83, 79.1]",927.35,947.4000000000001,2,Female,0,No,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,0,0,1,1,1,0,0,0,0,0,1
9803-FTJCG,No,0,71,49-72,66.85,"(58.83, 79.1]",4748.7,4746.349999999999,4,Male,0,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),1,1,1,1,1,1,0,1,0,0,1
0278-YXOOG,Yes,1,5,1-6,21.05,"(18.249, 25.05]",113.85,105.25,0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,0,1,0,0,0,0,0,0,0,0
3212-KXOCR,No,0,52,49-72,21.0,"(18.249, 25.05]",1107.2,1092.0,0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0,0,1,0,0,0,0,0,0,0,0
4598-XLKNJ,Yes,1,25,25-48,98.5,"(94.25, 118.75]",2514.5,2462.5,4,Female,1,Yes,No,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,0,1,1,0,1,1,0,1,1,0
6380-ARCEH,No,0,1,1-6,20.2,"(18.249, 25.05]",20.2,20.2,0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,0,1,0,0,0,0,0,0,0,0
3679-XASPY,No,0,1,1-6,19.45,"(18.249, 25.05]",19.45,19.45,0,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,1,1,1,0,0,0,0,0,0,0,0
7123-WQUHX,No,0,38,25-48,95.0,"(94.25, 118.75]",3605.6,3610.0,4,Male,0,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),0,0,1,0,0,0,1,1,1,0,1
5386-THSLQ,No,0,66,49-72,45.55,"(25.05, 58.83]",3027.25,3006.2999999999997,3,Female,1,Yes,No,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),1,0,0,0,0,1,1,0,1,0,0
